feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
2234710,1961864118,30065862,4,"It was okay, nothing special.",Delivery,Neutral,17-07-2024
5450964,1549769649,9573071,3,The order was incorrect.,App Experience,Negative,28-05-2024
482108,9185164487,45477575,3,"It was okay, nothing special.",App Experience,Neutral,23-09-2024
4823104,9644738826,88067569,4,The product met my expectations.,App Experience,Neutral,24-11-2023
3537464,5427684290,83298567,3,Product was damaged during delivery.,Delivery,Negative,20-11-2023
4089724,3265154092,43367112,2,Product was damaged during delivery.,Customer Service,Negative,18-03-2023
230696,4898355547,13284996,4,Highly recommended!,Product Quality,Positive,16-04-2023
2259308,6568151549,88866835,2,I had a bad experience.,App Experience,Negative,31-03-2024
7380970,6006693867,24496983,3,Product was damaged during delivery.,Delivery,Negative,14-07-2023
2257242,374186990,52215833,3,The product met my expectations.,App Experience,Neutral,09-08-2023
1837573,4455336265,43431724,2,Taste was not as expected.,Delivery,Negative,30-08-2023
258023,3539286337,77559557,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,25-04-2023
3081099,9171116867,87107263,4,The product met my expectations.,Customer Service,Neutral,22-10-2023
3158837,5504941865,76512976,5,Highly recommended!,App Experience,Positive,28-01-2024
9465932,5868326481,37556526,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,15-03-2024
8111644,2137046916,12059049,4,"Overall good experience, thank you!",Customer Service,Positive,03-02-2024
121425,8195544338,26199489,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,26-04-2023
8267419,2889700050,84848018,4,"Average experience, could improve.",Delivery,Neutral,30-04-2024
7168244,65827885,47577193,1,Product was damaged during delivery.,Delivery,Negative,27-07-2023
2482108,4656471694,60728956,3,Not worth the price I paid.,Customer Service,Negative,09-12-2023
3769939,6625178717,62068277,2,Items were missing from my order.,Product Quality,Negative,01-07-2023
9592296,7169557514,84824280,2,Customer service was not helpful.,Product Quality,Negative,21-03-2023
1592958,2268306684,66742602,5,"Overall good experience, thank you!",Delivery,Positive,28-05-2024
2088819,6905293278,97259564,3,"It was okay, nothing special.",Delivery,Neutral,16-06-2024
3567003,1769493463,3292927,2,I had a bad experience.,App Experience,Negative,26-06-2024
2903160,5003387344,26592009,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,23-06-2024
7511717,2064484752,89995124,3,The product met my expectations.,Customer Service,Neutral,07-05-2024
1055307,964822979,88520326,3,Delivery was late and I was unhappy.,Product Quality,Negative,13-07-2024
1477592,6037899648,22738465,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,27-03-2024
7898352,9347571484,29562072,3,I had a bad experience.,Product Quality,Negative,02-11-2024
8804364,3286177534,10225164,3,The product met my expectations.,Delivery,Neutral,25-06-2023
1208337,9073572548,97111069,4,The product met my expectations.,Customer Service,Neutral,02-05-2023
4382390,8395583761,1989720,4,Great prices and fast delivery!,App Experience,Positive,04-08-2024
4858018,6355378227,67092149,4,"Overall good experience, thank you!",Customer Service,Positive,11-08-2023
2400571,277376321,89784343,4,Great prices and fast delivery!,App Experience,Positive,28-07-2024
3093140,8559748526,45868300,4,"Average experience, could improve.",App Experience,Neutral,05-04-2023
9407783,1458051433,50760752,4,The product met my expectations.,App Experience,Neutral,26-04-2024
1180902,5838302640,96795047,4,"It was okay, nothing special.",App Experience,Neutral,12-05-2023
6888502,1380971977,16561710,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,02-06-2024
8679241,1221099013,35156679,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,23-07-2023
7512781,6771166303,87718744,3,The order was incorrect.,Product Quality,Negative,24-07-2023
5356601,7111337755,10524732,4,"Average experience, could improve.",Customer Service,Neutral,06-05-2023
9043273,5562922993,62416456,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,06-12-2023
3470106,5630957897,69925688,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,18-06-2024
